;Nom;Commune;Type;Coord_X;Coord_Y;IsLyon;Category
2059;Aire de Jeux Mini Stadium;Lyon 9e Arrondissement;Plateau EPS/Multisports/city-stades;4.80972;45.76974;True;Autres
2060;Stade de la Duchère;Lyon 9e Arrondissement;Mur ou fronton mixte;4.79581;45.78821;True;Escalade
2062;Complexe Sportif Pierre Audry;Lyon 9e Arrondissement;Salle multisports (gymnase);4.80905;45.76037;True;Gymnase
2063;Gymnase Mathias Favier;Lyon 9e Arrondissement;Salle multisports (gymnase);4.826084;45.799667;True;Gymnase
2064;Ecole Primaire Hector Berlioz;Lyon 9e Arrondissement;Terrain de basket-ball;4.79325;45.76451;True;BasketBall
2065;Ecole Primaire Antonin Laborde;Lyon 9e Arrondissement;Salle de basket;4.81309;45.78957;True;BasketBall
2066;Ecole Primaire Mistral;Lyon 9e Arrondissement;Terrain de basket-ball;4.82417;45.81124;True;BasketBall
2108;Iron Gym Ii;Bron;Salle de cours collectifs;4.912984;45.746847;True;Salle de sport
2109;7 Fitness;Bron;Bassin mixte de natation;4.931818;45.743478;True;Natation
2111;Stade Léo Lagrange;Bron;Plateau EPS/Multisports/city-stades;4.92772;45.74181;True;Autres
2113;Stade Duboeuf;Bron;Plateau EPS/Multisports/city-stades;4.90681;45.74027;True;Autres
2114;Essa;Bron;Salle de musculation/cardiotraining;4.92531;45.72913;True;Salle de sport
2115;Essa;Bron;Terrain de rugby;4.92652;45.7341;True;Rugby
2117;Université Lumière Lyon Ii;Bron;Structure Artificielle d'Escalade;4.91878;45.72094;True;Escalade
2119;Collège Joliot Curie;Bron;Salles polyvalentes / des fêtes / non spécialisées;4.91401;45.74777;True;Gymnase
2477;Gymnase B Siuaps Secteur Insa;Villeurbanne;Terrain de beach-volley;4.88341;45.78527;True;VolleyBall
2478;Gymnase B Siuaps Secteur Insa;Villeurbanne;Terrain de beach-volley;4.88195;45.78509;True;VolleyBall
2479;Complexe Sportif et Terrains Sportifs Ufr Staps Campus de la Doua Siuaps;Villeurbanne;Salle multisports (gymnase);4.86326;45.781;True;Gymnase
2480;Gymnase et Tennis de Sciences Campus de la Doua;Villeurbanne;Salle de danse;4.86928;45.77926;True;Danse
2481;Lycée Pierre Brossolette;Villeurbanne;Terrain de basket-ball;4.87884;45.77103;True;BasketBall
2483;Collège Privé Immaculée Conception;Villeurbanne;Plateau EPS/Multisports/city-stades;4.88988;45.75723;True;Autres
2484;Collège Jean Jaurès;Villeurbanne;Salles polyvalentes / des fêtes / non spécialisées;4.88304;45.75672;True;Gymnase
2485;Gigagym;Villeurbanne;Salle de musculation/cardiotraining;4.893689;45.757242;True;Salle de sport
2487;Stade Enna;Villeurbanne;Terrain de football;4.91716;45.75567;True;FootBall
2489;Stade Jules Guesdes;Villeurbanne;Terrain de football;4.90737;45.75666;True;FootBall
2490;Stade Ahmed Mokrane;Villeurbanne;Terrain de football;4.90545;45.75494;True;FootBall
2491;Complexe des Brosses;Villeurbanne;Plateau EPS/Multisports/city-stades;4.917783;45.749989;True;Autres
2492;Centre Nautique E.Gagnaire;Villeurbanne;Boucle de randonnée;4.90905;45.76697;True;Course à pied
2493;Centre Nautique E.Gagnaire;Villeurbanne;Bassin sportif de natation;4.91068;45.76663;True;Natation
