ID,Nom,Commune,Type,Coord_X,Coord_Y
0,Base de Loisirs,Aigueperse,Court de tennis,4.43673,46.27725
1,Salle des Fetes et Terrain de Jeu,Alix,Terrain de basket-ball,4.65048,45.91451
2,Collège Saint Viateur,Amplepuis,Terrain de basket-ball,4.3305,45.9714
3,Piscine Municipale,Amplepuis,Bassin sportif de natation,4.33641,45.97965
4,Salle de Gymnastique,Amplepuis,Salle de gymnastique sportive,4.31299,45.98101
5,Complexe Culturel et Sportif Bagatelle,Amplepuis,Court de tennis,4.33261,45.96278
6,Mur d'Escalade,Amplepuis,Structure Artificielle d'Escalade,4.33449,45.97113
7,Stade de Verenay,Ampuis,Terrain de rugby,4.83263,45.50143
8,Complexe Sportif,Anse,Pas de tir à l'arc,4.71148,45.93727
9,Complexe Sportif,Anse,Salle multisports (gymnase),4.71243,45.93873
10,Circuits de Randonnees,Anse,Boucle de randonnée,4.71804,45.9362
11,Espace Escalade,L'Arbresle,Site de blocs d'escalade,4.60713,45.82517
12,Lycee Barthelemy Thimonnier,L'Arbresle,Plateau EPS/Multisports/city-stades,4.61234,45.8351
13,Stade Municipal,L'Arbresle,Terrain de boules,4.60665,45.83848
14,Stade Municipal,L'Arbresle,Court de tennis,4.60512,45.83886
15,Gymnase Henri Clairet,L'Arbresle,Salle multisports (gymnase),4.611897,45.835094
16,Domaine de la Sauvageonnne,Arnas,Carrière,4.69164,46.03155
17,Domaine de la Sauvageonnne,Arnas,Carrière de dressage/rond de longe,4.69164,46.03155
18,"Complexe Sportif ""Espace Grange Moulin""",Arnas,Terrain de football,4.70108,46.02877
19,"Complexe Sportif ""Espace Grange Moulin""",Arnas,Salle multisports (gymnase),4.700501,46.027221
20,L'Escale,Arnas,Salle multisports (gymnase),4.697937,46.029623
21,L'Escale,Arnas,Terrain de rugby,4.702792,46.029396
22,Complexe Sportif,Aveize,Salle multisports (gymnase),4.47835,45.68308
23,Salles de Loisirs,Aveize,Salles polyvalentes / des fêtes / non spécialisées,4.47694,45.68355
24,Circuits de Randonnees,Aveize,Boucle de randonnée,4.45821,45.6883
25,Court de Tennis,Bagnols,Court de tennis,4.60621,45.9114
26,Circuits de Randonnees,Bagnols,Boucle de randonnée,4.6263,45.9038
27,Circuits de Randonnees,Beaujeu,Boucle de randonnée,4.5873,46.15463
28,Circuits de Randonnees,Beaujeu,Boucle de randonnée,4.5873,46.15463
29,Circuits de Randonnees,Beaujeu,Boucle de randonnée,4.5873,46.15463
30,Complexe Sportif,Beaujeu,Court de tennis,4.57266,46.16351
31,Centre Sportif Rosselli,Belleville,Salle multisports (gymnase),4.74024,46.10357
32,Boulodrome,Belleville,Terrain de boules,4.7533,46.10738
33,Espace Catinot,Belleville,Salle de tennis de table,4.74714,46.1082
34,Stade Municipal Jomard Dury,Belleville,Terrain de basket-ball,4.74226,46.10909
35,Gymnase Intercommunal Philippe Gardent,Belleville,Plateau EPS/Multisports/city-stades,4.7387,46.10257
36,Complexe Sportif Jean Guilloud,Bessenay,Court de tennis,4.5491,45.78177
37,Plateau Multisports,Bessenay,Plateau EPS/Multisports/city-stades,4.55132,45.77544
38,Les Chevrières,Blacé,Court de tennis,4.65136,46.04568
39,Salle Polyvalente,Val d'Oingt,Terrain de basket-ball,4.58763,45.92057
40,Boulodromes,Val d'Oingt,Terrain de boules,4.58518,45.91769
41,Collège Les Pierres Dorées,Val d'Oingt,Terrain de basket-ball,4.58255,45.92584
42,Circuits de Randonnees,Val d'Oingt,Boucle de randonnée,4.58475,45.9226
43,Gymnase Bri'Sport,Brignais,Salle de gymnastique sportive,4.76161,45.6709
44,Ecole Claudius Fournion,Brignais,Salles polyvalentes / des fêtes / non spécialisées,4.75568,45.67551
45,Boulodrome 2,Brignais,Terrain de boules,4.76026,45.67406
46,Complexe Sportif Pierre Minssieux,Brignais,Terrain de football,4.74931,45.67933
47,Complexe Sportif Pierre Minssieux,Brignais,Court de tennis,4.7505,45.67792
48,College Georges Charpak,Brindas,Piste d'athlétisme isolée,4.70278,45.72158
49,Parc des Sports,Brindas,Terrain de football,4.68678,45.72292
50,Parc des Sports,Brindas,Court de tennis,4.68513,45.72374
51,Circuits de Randonnees,Brindas,Boucle de randonnée,4.69375,45.7205
52,Parc de Parilly,Bron,Stade d’athlétisme,4.89472,45.71799
53,Parc de Parilly,Bron,Terrain de football,4.89704,45.72045
54,Parc de Parilly,Bron,Terrain de basket-ball,4.8957,45.72168
55,Parc de Parilly,Bron,Terrain de basket-ball,4.8957,45.72168
56,Parc de Parilly,Bron,Terrain de basket-ball,4.8957,45.72168
57,7 Fitness,Bron,Salle de cours collectifs,4.931818,45.743478
58,Stade Léo Lagrange,Bron,Terrain de football,4.92591,45.74214
59,Stade Léo Lagrange,Bron,Court de tennis,4.92708,45.74076
60,Stade Léo Lagrange,Bron,Court de tennis,4.92708,45.74076
61,Stade Duboeuf,Bron,Stade d’athlétisme,4.90718,45.74142
62,Université Lumière Lyon Ii,Bron,Salle multisports (gymnase),4.91909,45.72048
63,Lycée Professionnel du Batiment et des Travaux Publics,Bron,Plateau EPS/Multisports/city-stades,4.88842,45.72642
64,Halle des Sports,Bron,Salle multisports (gymnase),4.92179,45.7373
65,Salle d'Armes,Bron,Salle d'escrime,4.91041,45.74378
66,Gymnase Louis Pradel,Bron,Plateau EPS/Multisports/city-stades,4.91258,45.74817
67,Court de Tennis,Brullioles,Court de tennis,4.50077,45.75964
68,Plateau Sportif,Brussieu,Plateau EPS/Multisports/city-stades,4.52779,45.74946
69,Karting Evasion,Bully,Piste de kart,4.56013,45.85779
70,Complexe Sportif du Repiel,Bully,Court de tennis,4.59127,45.85404
71,"Complexe Sportif ""Des Prolières""",Cailloux-sur-Fontaines,Plateau EPS/Multisports/city-stades,4.86733,45.85066
72,You Can Fit,Caluire-et-Cuire,Salle de musculation/cardiotraining,4.834089,45.78693
73,Circuits de Randonnees,Caluire-et-Cuire,Boucle de randonnée,4.83646,45.7878
74,Circuits de Randonnees,Caluire-et-Cuire,Boucle de randonnée,4.83646,45.7878
75,Fcl Tennis,Caluire-et-Cuire,Court de tennis,4.83622,45.7933
76,Ecole de l'Oratoire,Caluire-et-Cuire,Plateau EPS/Multisports/city-stades,4.84151,45.78407
77,Parc des Sports Bourdan,Caluire-et-Cuire,Salle de cours collectifs,4.840041,45.792643
78,Parc des Sports Terre des Lièvres 2,Caluire-et-Cuire,Court de tennis,4.86857,45.80356
79,Aire de Loisirs de la Mardone,Cenves,Terrain de pétanque,4.65112,46.26862
80,Salle d'Animation Rurale,Cercié,Terrain de boules,4.67133,46.12254
81,Ferme Équestre de la Vieille Route,Chamelet,Dojo / Salle d'arts martiaux,4.49614,45.99932
82,Structure Multisports,Chamelet,Plateau EPS/Multisports/city-stades,4.50503,45.9792
83,Structure Multisports,Chamelet,Stade d’athlétisme,4.50503,45.9792
84,Circuits de Randonnees,Chamelet,Boucle de randonnée,4.50787,45.9824
85,Courts de Tennis,Champagne-au-Mont-d'Or,Court de tennis,4.77135,45.80221
86,Courts de Tennis,Champagne-au-Mont-d'Or,Court de tennis,4.7709,45.80225
87,Espace Henri Cochet,Chaponost,Court de tennis,4.7493,45.70401
88,Espace Henri Cochet,Chaponost,Court de tennis,4.7493,45.70401
89,Planète 3D,Chaponost,Salle de musculation/cardiotraining,4.764601,45.694845
90,Tennis Bois de Lune,Charbonnières-les-Bains,Court de tennis,4.73355,45.78731
91,Parc des Sports,Charbonnières-les-Bains,Court de tennis,4.74583,45.78219
92,Boulodrome et Mille Club,Charbonnières-les-Bains,Terrain de boules,4.74124,45.77762
93,Espace Carenthia,Charentay,Terrain de basket-ball,4.68146,46.08647
94,Domaine Communal Melchior Philibert,Charly,Terrain de pétanque,4.79679,45.64635
95,Terrain de Football de Chevronet,Charnay,Terrain de football,4.6693,45.8974
96,Courts de Tennis,Chasselay,Court de tennis,4.76668,45.87317
97,Courts de Tennis,Chasselay,Court de tennis,4.76668,45.87317
98,Pôle Sportif,Chasselay,Court de tennis,4.772271,45.878053
99,La Manade,Chasselay,Carrière,4.78283,45.89716
100,Stade du Lac,Châtillon,Terrain de football,4.639163,45.874943
101,Boulodromes,Châtillon,Terrain de boules,4.64262,45.874
102,Salle des Sports,Châtillon,Salles polyvalentes / des fêtes / non spécialisées,4.6412,45.87417
103,Terrain Multisports,Châtillon,Plateau EPS/Multisports/city-stades,4.64475,45.87596
104,Mille Club,Châtillon,Salles polyvalentes / des fêtes / non spécialisées,4.64067,45.87377
105,Salle Saint Exupery,Chazay-d'Azergues,Salle multisports (gymnase),4.71114,45.8713
106,Zone Sportive,Les Chères,Court de tennis,4.74103,45.89057
107,Complexe Sportif Jean Bidon,Chessy,Terrain de pétanque,4.62011,45.88453
108,Circuits de Randonnees,Chiroubles,Boucle de randonnée,4.66706,46.18117
109,Collège Notre Dame,Claveisolles,Salle de tennis de table,4.49322,46.09959
110,Collège Notre Dame,Claveisolles,Terrain de football,4.49198,46.09999
111,Court de Tennis,Cogny,Court de tennis,4.6274,45.98618
112,Parc de la Jonchère,Collonges-au-Mont-d'Or,Terrain de football,4.8449,45.8149
113,Parc de la Jonchère,Collonges-au-Mont-d'Or,Parcours sportif/santé,4.844901,45.814896
114,Base de Ski Nautique,Collonges-au-Mont-d'Or,Stade de ski nautique,4.8459994,45.8316649
115,Ecole Primaire Publique,Condrieu,Salle de danse,4.76783,45.46448
116,Terrain Multisports,Cours,Plateau EPS/Multisports/city-stades,4.37708,46.11416
117,Complexe Sportif,Couzon-au-Mont-d'Or,Court de tennis,4.83296,45.84951
118,Salle d'Animation Rurale,Couzon-au-Mont-d'Or,Salles polyvalentes / des fêtes / non spécialisées,4.83126,45.84926
119,Stade Neveu,Craponne,Terrain de football,4.71027,45.74296
120,Salle des Fêtes Les Enfants de Craponne,Craponne,Salles polyvalentes / des fêtes / non spécialisées,4.72239,45.74459
121,Stade Bouliste,Craponne,Terrain de pétanque,4.72553,45.7447
122,Base de Loisirs Lac des Sapins,Cublize,Pas de tir à l'arc,4.36466,46.00394
123,Base de Loisirs Lac des Sapins,Cublize,Parcours fixe de course d’orientation,4.37703,46.01122
124,Site Naturel d'Escalade,Curis-au-Mont-d'Or,Site d'escalade en falaise,4.81313,45.86815
125,Skate Park de Dardilly,Dardilly,Skate park,4.7633,45.81081
126,Poney Club de Villedieu,Dardilly,Carrière,4.72806,45.81529
127,Poney Club de Villedieu,Dardilly,Carrière,4.72806,45.81529
128,Tennis Club des 4 Saisons,Dardilly,Court de tennis,4.73906,45.79208
129,Site de la Brocardiere,Dardilly,Terrain de football,4.76455,45.81167
130,Site de la Brocardiere,Dardilly,Piste de bicross,4.76647,45.81003
131,Boulodrome Departemental,Dardilly,Terrain de boules,4.76279,45.82067
132,Place du Village,Denicé,Terrain de boules,4.64622,46.00124
133,Jeux de Boules et Courts de Tennis,Denicé,Court de tennis,4.64394,46.00256
134,Jeux de Boules et Courts de Tennis,Denicé,Terrain de boules,4.64456,46.00227
135,Haras de Préjeurin,Échalas,Manège,4.71942,45.56034
136,College du Sacre Coeur,Écully,Terrain de handball,4.77448,45.76861
137,College du Sacre Coeur,Écully,Terrain de football,4.77564,45.76908
138,Genae,Écully,Salle de cours collectifs,4.781581,45.786599
139,Gymnase du Perollier,Écully,Salle multisports (gymnase),4.78225,45.79069
140,Gymnase des Cerisiers,Écully,Salle multisports (gymnase),4.78571,45.78275
141,Court de Tennis,Écully,Court de tennis,4.76645,45.7761
142,Salle Louis Chirpas,Écully,Plateau EPS/Multisports/city-stades,4.77241,45.77421
143,College Laurent Mouguet,Écully,Aire de saut,4.78418,45.78165
144,College Laurent Mouguet,Écully,Piste d'athlétisme isolée,4.78416,45.78119
145,Lycée Professionnel François Cevert,Écully,Plateau EPS/Multisports/city-stades,4.78865,45.78411
146,Ecole Centrale,Écully,Court de tennis,4.769996,45.783194
147,Salle d'Animation,Éveux,Salles polyvalentes / des fêtes / non spécialisées,4.62395,45.82619
148,Circuits de Randonnee - Place de l'Eglise,Fleurie,Boucle de randonnée,4.6967,46.1924
149,Site Sncf,Fleurieu-sur-Saône,Terrain de basket-ball,4.84477,45.85923
150,Circuits de Randonnees - Place du Village,Fleurieux-sur-l'Arbresle,Boucle de randonnée,4.65179,45.8371
151,Complexe Sportif,Fleurieux-sur-l'Arbresle,Salles polyvalentes / des fêtes / non spécialisées,4.65197,45.83461
152,Complexe Sportif,Fleurieux-sur-l'Arbresle,Dojo / Salle d'arts martiaux,4.65197,45.83461
153,Aire de Jeux de la Sarra,Fontaines-Saint-Martin,Mur de tennis,4.85386,45.84665
154,Gymnase des Ronzieres,Fontaines-sur-Saône,Court de tennis,4.85516,45.83404
155,Société Sportive des Acqueducs,Francheville,Court de tennis,4.75961,45.72724
156,Espace Jeune des Hermières,Francheville,Skate park,4.7684,45.74101
157,Essor de Bel Air,Francheville,Court de tennis,4.75648,45.74613
158,Circuits de Randonnees ( Office du Tourisme ),Givors,Boucle de randonnée,4.77601,45.5846
159,Sport Light,Givors,Salle de boxe,4.74633,45.58266
160,Terrain de Football Bans,Givors,Terrain de football,4.791224,45.572644
161,Boule Joyeuse,Givors,Terrain de boules,4.772333,45.591312
162,Salle de Tir Louise Michel,Givors,Pas de tir à la cible,4.76294,45.60627
163,Gymnase Jolio Curie,Givors,Salle multisports (gymnase),4.7682,45.59708
164,Parc des Sports,Givors,Salle de gymnastique sportive,4.77055,45.60103
165,Parc des Sports,Givors,Salle de boxe,4.77055,45.60103
166,Parc des Sports,Givors,Dojo / Salle d'arts martiaux,4.77055,45.60103
167,Parc des Sports,Givors,Court de tennis,4.77213,45.60032
168,Parc des Sports,Givors,Terrain de football,4.77139,45.59817
169,Parc des Sports,Givors,Aire de saut,4.77091,45.60065
170,Circuits de Randonnee - Centre du Village,Grandris,Boucle de randonnée,4.47617,46.0387
171,Salle Polyvalente,Grandris,Salle multisports (gymnase),4.47749,46.03975
172,Stade de Football,Grézieu-la-Varenne,Terrain de football,4.69859,45.74871
173,Espace Cartay,Grézieu-le-Marché,Terrain de football,4.42004,45.65361
174,Circuits de Randonnees (Place du Village),Grigny,Boucle de randonnée,4.79278,45.6097
175,Stade Jean Zay,Grigny,Court de tennis,4.78549,45.60946
176,Stade Jean Zay,Grigny,Terrain de football,4.78558,45.60847
177,Stade Jean Zay,Grigny,Court de tennis,4.78549,45.60946
178,Courts de Tennis,Haute-Rivoire,Court de tennis,4.39408,45.71588
179,Courts de Tennis,Haute-Rivoire,Court de tennis,4.39408,45.71588
180,Collège Daisy Georges Martin,Irigny,Terrain de volley-ball,4.81708,45.67297
181,Collège Daisy Georges Martin,Irigny,Stade d’athlétisme,4.81672,45.67404
182,Collège Daisy Georges Martin,Irigny,Terrain de volley-ball,4.81708,45.67297
183,Collège Daisy Georges Martin,Irigny,Terrain de basket-ball,4.8165,45.67366
184,Champvillard,Irigny,Court de tennis,4.81052,45.67009
185,Champvillard,Irigny,Skate park,4.81047,45.67178
186,Champvillard,Irigny,Court de tennis,4.81052,45.67009
187,Zone Sportive,Joux,Terrain de basket-ball,4.37315,45.88821
188,Plateau Eps,Lachassagne,Plateau EPS/Multisports/city-stades,4.68544,45.92706
189,Ecole,Lancié,Terrain de basket-ball,4.71194,46.16964
190,Ecuries de Mangalix,Lentilly,Carrière de dressage/rond de longe,4.66815,45.81775
191,Halle des Sports,Létra,Structure Artificielle d'Escalade,4.52642,45.9607
192,Circuits de Randonnees,Létra,Boucle de randonnée,4.52459,45.9621
193,Parc des Sports,Limonest,Salle multisports (gymnase),4.77454,45.83451
194,Terrain de Tennis,Lissieu,Court de tennis,4.74182,45.8641
195,Equipement Public À Vocation Sportive,Lissieu,Dojo / Salle d'arts martiaux,4.74186,45.86513
196,Salle Polyvalente,Loire-sur-Rhône,Salles polyvalentes / des fêtes / non spécialisées,4.80428,45.56152
197,Complexe Sportif,Loire-sur-Rhône,Terrain de boules,4.80976,45.56185
198,Salle Polyvalente Multisports,Lozanne,Salle de cours collectifs,4.68075,45.85559
199,Circuits de Randonnees,Lucenay,Boucle de randonnée,4.701468,45.913157
200,Salle des Ballerines,Lucenay,Salle de danse,4.70201,45.91384
201,Ecole Robert Doisneau,Lucenay,Salles polyvalentes / des fêtes / non spécialisées,4.70388,45.91442
202,Maison de la Rencontre,Marcy-l'Étoile,Court de tennis,4.70374,45.7839
203,Maison de la Rencontre,Marcy-l'Étoile,Court de tennis,4.70356,45.78369
204,Parc du Vourlat,Messimy,Terrain de pétanque,4.67565,45.69165
205,Parc du Vourlat,Messimy,Court de tennis,4.677046,45.692289
206,Stade de Football,Meys,Terrain de football,4.38775,45.68377
207,Skate Park,Millery,Skate park,4.77823,45.62796
208,Terrains de Tennis,Millery,Court de tennis,4.78523,45.63377
209,La Poneyterie,Millery,Parcours de cross,4.78067,45.62039
210,Circuits de Randonnees,Moiré,Boucle de randonnée,4.60163,45.9276
211,Salle de Fontalet,Monsols,Dojo / Salle d'arts martiaux,4.51708,46.22375
212,Complexe Sportif,Montrottier,Salle multisports (gymnase),4.4635,45.79215
213,Complexe Sportif,Montrottier,Terrain de boules,4.46378,45.79201
214,Ecuries Jean Magistrat,Mornant,Manège,4.70251,45.61099
215,Complexe Tannerie,Mornant,Piste d'athlétisme isolée,4.6689,45.61832
216,Complexe Paul Verguin,Mornant,Terrain de football,4.67444,45.62618
217,Complexe Paul Verguin,Mornant,Court de tennis,4.67486,45.62674
218,Collège Pierre Ronsard,Mornant,Plateau EPS/Multisports/city-stades,4.6689,45.61832
219,Les Bassins de l'Aqueduc,Mornant,Bassin ludique de natation,4.672263,45.624566
220,Plateau du Grand Cèdre,La Mulatière,Plateau EPS/Multisports/city-stades,4.80877,45.72726
221,Piscine Municipale,La Mulatière,Bassin mixte de natation,4.8072,45.72615
222,Squash Confluence,La Mulatière,Terrain de soccer,4.814078,45.723369
223,Aire de Jeux,La Mulatière,Plateau EPS/Multisports/city-stades,4.815239,45.727028
224,Stand de Tir Neuville,Neuville-sur-Saône,Pas de tir à la cible,4.85731,45.89118
225,Plateau Multisports de l'Echo,Neuville-sur-Saône,Plateau EPS/Multisports/city-stades,4.84591,45.88293
226,Collège Jean Renoir,Neuville-sur-Saône,Terrain de rugby,4.844324,45.868759
227,Salles Margerand,Neuville-sur-Saône,Salles polyvalentes / des fêtes / non spécialisées,4.84117,45.87221
228,Groupe Scolaire Notre Dame de Bellegarde,Neuville-sur-Saône,Terrain de basket-ball,4.841,45.87002
229,Groupe Scolaire Notre Dame de Bellegarde,Neuville-sur-Saône,Terrain de football,4.83805,45.87013
230,Terrains de Boules,Les Olmes,Terrain de boules,4.5183,45.88468
231,Stade,Orliénas,Court de tennis,4.70517,45.65295
232,Collège Pierre Brossolette,Oullins,Plateau EPS/Multisports/city-stades,4.79146,45.71567
233,L'Appart Fitness Oullins,Oullins,Salle de musculation/cardiotraining,4.798751,45.720138
234,City Stade du Parc du Pardo,Oullins,Plateau EPS/Multisports/city-stades,4.806401,45.712618
235,Gymnase Jean Jaurès,Oullins,Salle multisports (gymnase),4.818564,45.718407
236,Gymnase Jean Jaurès,Oullins,Salle de boxe,4.818832,45.718454
237,P.L.Oullins,Oullins,Terrain de boules,4.809643,45.713021
238,Stade du Merlo,Oullins,Terrain de football,4.78311,45.72219
239,Gymnase Maurice Herzog,Oullins,Structure Artificielle d'Escalade,4.81538,45.70999
240,Foyer Ambroise Croizat,Pierre-Bénite,Salles polyvalentes / des fêtes / non spécialisées,4.82469,45.70255
241,Hall de Basket Paul Bert,Pierre-Bénite,Salle de basket,4.81762,45.70516
242,Salle Robert d'Aversa,Pierre-Bénite,Salle multisports (gymnase),4.82968,45.70023
243,Espace Samuel et Roger Paillat,Pierre-Bénite,Salle multisports (gymnase),4.81938,45.69807
244,Complexe Sportif Viollet Biasani,Pierre-Bénite,Court de tennis,4.81897,45.70064
245,Zone Tennis Petanque,Poleymieux-au-Mont-d'Or,Court de tennis,4.79869,45.85568
246,Stade Jean Benoit Morel,Pollionnay,Terrain de football,4.66907,45.76358
247,Stade de Football,Pomeys,Terrain de football,4.44905,45.64524
248,Piscine d'Hurongues,Pomeys,Bassin mixte de natation,4.44336,45.65013
249,Complexe Sportif Roger Marduel,Pontcharra-sur-Turdine,Terrain de boules,4.50462,45.87381
250,Complexe Sportif Roger Marduel,Pontcharra-sur-Turdine,Terrain de pétanque,4.50639,45.87302
251,Complexe Sportif Roger Marduel,Pontcharra-sur-Turdine,Terrain de basket-ball,4.50495,45.87281
252,Plan d'Eau,Poule-les-Écharmeaux,Site d'activités aquatiques et nautiques,4.4535,46.14976
253,Vol Libre - Aire de Décollage Ramiers Quicie,Quincié-en-Beaujolais,Aire de décollage,4.62328,46.10427
254,Boulodrome,Quincié-en-Beaujolais,Terrain de boules,4.61653,46.12045
255,City Stade,Quincieux,Plateau EPS/Multisports/city-stades,4.781051,45.910399
256,Stade Chamalan,Quincieux,Skate park,4.769475,45.936202
257,La Chapelière,Régnié-Durette,Terrain de boules,4.63646,46.13772
258,Circuit de Randonnee - Place de l'Église,Régnié-Durette,Boucle de randonnée,4.64128,46.13819
259,Site Naturel d'Escalade Aménagé,Riverie,Site d'escalade en falaise,4.58823,45.59643
260,Circuits de Randonnees,Rochetaillée-sur-Saône,Boucle de randonnée,4.83486,45.83985
261,Plateforme Sportive,Sain-Bel,Terrain de football,4.59147,45.81316
262,Zône Sportive et d'Animation Communale,Les Sauvages,Terrain de football,4.37672,45.92015
263,Ecole Sainte Marie,Les Sauvages,Terrain de football,4.37536,45.92452
264,Circuits de Randonnees - Place du 8 Mai,Savigny,Boucle de randonnée,4.576,45.81681
265,Circuits de Randonnee,Soucieu-en-Jarrest,Boucle de randonnée,4.69583,45.6781
266,Complexe Sportif,Soucieu-en-Jarrest,Terrain de basket-ball,4.6957,45.67738
267,Complexe Sportif,Soucieu-en-Jarrest,Salle multisports (gymnase),4.69579,45.6779
268,Complexe Sportif,Soucieu-en-Jarrest,Court de tennis,4.69644,45.67727
269,Circuits Randonnees - Place Nicolas Paradis,Saint-Andéol-le-Château,Boucle de randonnée,4.69392,45.5843
270,Circuits de Randonnee,Sainte-Catherine,Boucle de randonnée,4.5712,45.5979
271,Terrain de Boules,Sainte-Catherine,Terrain de boules,4.57163,45.59745
272,Zone Sportive,Sainte-Catherine,Terrain mixte,4.56751,45.59582
273,Terrain de Boule,Saint-Clément-les-Places,Terrain de boules,4.423296,45.751763
274,Terrains de Jeux,Saint-Clément-sur-Valsonne,Court de tennis,4.45036,45.92439
275,Terrains de Jeux,Saint-Clément-sur-Valsonne,Terrain de basket-ball,4.45072,45.92422
276,Terrains de Boules,Saint-Clément-sur-Valsonne,Terrain de boules,4.4514,45.92396
277,Sarl Ecurie du Quincieux,Sainte-Consorce,Manège,4.695921,45.776373
278,Circuits de Randonnees - Parking de la Mairie,Sainte-Consorce,Boucle de randonnée,4.69046,45.7748
279,Les Ecuries du Vallon,Sainte-Consorce,Manège,4.682368,45.784527
280,Les Ecuries du Vallon,Sainte-Consorce,Manège,4.682368,45.784527
281,Salle Polyvalente,Saint-Cyr-au-Mont-d'Or,Dojo / Salle d'arts martiaux,4.81758,45.81651
282,Jeu de Boules,Saint-Didier-au-Mont-d'Or,Terrain de boules,4.79411,45.83205
283,Espace Laurent Bonnevay,Saint-Didier-au-Mont-d'Or,Dojo / Salle d'arts martiaux,4.79529,45.81035
284,Collège Fromente,Saint-Didier-au-Mont-d'Or,Terrain de football,4.7936,45.80833
285,Collège Fromente,Saint-Didier-au-Mont-d'Or,Terrain de basket-ball,4.79532,45.80929
286,Jeu de Boules 2,Saint-Didier-sur-Beaujeu,Terrain de boules,4.54581,46.15616
287,Place du Village,Saint-Didier-sur-Beaujeu,Boucle de randonnée,4.5457,46.15647
288,Maison des Trois Espaces,Saint-Fons,Salle de gymnastique sportive,4.85578,45.69744
289,Salle de Billard,Saint-Fons,Salle de billard,4.85214,45.70787
290,Terrain Multisports Casanova,Saint-Fons,Plateau EPS/Multisports/city-stades,4.86288,45.70987
291,Complexe Carnot,Saint-Fons,Terrain de football,4.8648,45.70706
292,Cosec Léo Lagrange,Saint-Fons,Aire de saut,4.853306,45.695
293,Stade de la Cressoniere,Saint-Fons,Court de tennis,4.85468,45.70408
294,Ecole Jules Vallès,Saint-Fons,Dojo / Salle d'arts martiaux,4.85771,45.7064
295,Gymnase Frison Roche,Saint-Fons,Salle multisports (gymnase),4.85953,45.68957
296,Théâtre Jean Marais,Saint-Fons,Salles polyvalentes / des fêtes / non spécialisées,4.861992,45.708151
297,Terrains de Boules,Sainte-Foy-l'Argentière,Terrain de boules,4.47256,45.70781
298,Terrains de Boules,Sainte-Foy-l'Argentière,Terrain de boules,4.47223,45.70792
299,Complexe Marius Bourrat,Sainte-Foy-lès-Lyon,Terrain de boules,4.803781,45.741994
300,Tennis Club Fidésien,Sainte-Foy-lès-Lyon,Court de tennis,4.798949,45.739197
301,Gymnase du Plan du Loup,Sainte-Foy-lès-Lyon,Salle multisports (gymnase),4.788356,45.734732
302,Ecole de la Graviere,Sainte-Foy-lès-Lyon,Piste d'athlétisme isolée,4.779112,45.73149
303,Collège le Plan du Loup,Sainte-Foy-lès-Lyon,Salle multisports (gymnase),4.7902,45.73393
304,Collège le Plan du Loup,Sainte-Foy-lès-Lyon,Piste d'athlétisme isolée,4.790496,45.73398
305,Arcade,Sainte-Foy-lès-Lyon,Salle de cours collectifs,4.806592,45.749286
306,Terrain Omnisports Poncet,Saint-Genis-l'Argentière,Court de tennis,4.48754,45.70979
307,Terrain Omnisports Poncet,Saint-Genis-l'Argentière,Skate park,4.4872,45.71009
308,Lycée Préssin,Saint-Genis-Laval,Terrain de football,4.776622,45.708902
309,Ems du Champlong,Saint-Genis-Laval,Plateau EPS/Multisports/city-stades,4.8041,45.69358
310,Stade de Beauregard,Saint-Genis-Laval,Terrain de football,4.78792,45.69079
311,Stade de Beauregard,Saint-Genis-Laval,Terrain de football,4.786904,45.690022
312,Complexe Sportif Henri Fillot,Saint-Genis-Laval,Terrain de football,4.78864,45.68357
313,Complexe Sportif Henri Fillot,Saint-Genis-Laval,Court de tennis,4.78818,45.68364
314,Gymnase de la Vuldy,Saint-Genis-les-Ollières,Salle de gymnastique sportive,4.72351,45.75642
315,Stade Louison Bobet,Saint-Genis-les-Ollières,Court de tennis,4.73328,45.76836
316,Stade Louison Bobet,Saint-Genis-les-Ollières,Terrain de boules,4.73394,45.76905
317,Parc Montchervet,Saint-Georges-de-Reneins,Terrain de football,4.72415,46.06021
318,Stade Jean Lacaze,Saint-Germain-au-Mont-d'Or,Court de tennis,4.81193,45.88268
319,Plateau Sportif du Colombier,Saint-Germain-Nuelles,Court de tennis,4.60848,45.84823
320,Plateau Sportif du Colombier,Saint-Germain-Nuelles,Terrain de boules,4.6096,45.84833
321,Circuits de Randonnee - Place du Village,Saint-Germain-Nuelles,Boucle de randonnée,4.62419,45.8486
322,Circuits de Randonnees - le Bourg,Saint-Germain-Nuelles,Boucle de randonnée,4.61194,45.853
323,Stade Municipal,Saint-Jean-la-Bussière,Terrain de football,4.32347,45.99771
324,Complexe Sportif la Buissoniere,Saint-Jean-la-Bussière,Salle de danse,4.32282,45.99696
325,Zone Sportive,Saint-Jean-la-Bussière,Skate park,4.32395,45.996666
326,Boulodrome,Saint-Julien-sur-Bibost,Terrain de boules,4.52307,45.80304
327,Stade Municipal des Gouttes,Saint-Julien-sur-Bibost,Terrain de football,4.52307,45.80304
328,Salle Polyvalente,Saint-Julien-sur-Bibost,Salles polyvalentes / des fêtes / non spécialisées,4.51876,45.80366
329,Stade la Fouillouse,Saint-Just-d'Avray,Terrain de football,4.45729,46.00524
330,Stade la Fouillouse,Saint-Just-d'Avray,Court de tennis,4.45869,46.00463
